title,year,month,day,pubDate,link,description,image_url,image_caption,cluster,Emoción
"Ayotzinapa: La inusitada actividad de celulares de policías, delincuentes y estudiantes",2023,8,2,2017-09-07T11:17:03-00:00,https://www.proceso.com.mx/plataforma-ayotzinapa/2017/9/7/ayotzinapa-la-inusitada-actividad-de-celulares-de-policias-delincuentes-estudiantes-190961.html,,https://www.proceso.com.mx/u/fotografias/m/2017/9/7/f300x190-72846_81006_5050.jpg,,3,🤔
Introducción a la Plataforma Ayotzinapa (Video),2023,8,2,2017-09-07T11:17:04-00:00,https://www.proceso.com.mx/plataforma-ayotzinapa/2017/9/7/introduccion-la-plataforma-ayotzinapa-video-190959.html,,https://www.proceso.com.mx/u/fotografias/m/2017/9/7/f300x190-72815_80975_5050.jpg,,0,❤
Ayotzinapa: Los videos destruidos de las cámaras del Palacio de Justicia de  Iguala (Video),2023,8,2,2017-09-07T11:16:05-00:00,https://www.proceso.com.mx/plataforma-ayotzinapa/2017/9/7/ayotzinapa-los-videos-destruidos-de-las-camaras-del-palacio-de-justicia-de-iguala-video-190966.html,,https://www.proceso.com.mx/u/fotografias/m/2017/9/7/f300x190-72813_80973_5050.jpg,,3,🤔
Ayotzinapa: la noche de Iguala (Video),2023,8,2,2017-09-07T11:16:06-00:00,https://www.proceso.com.mx/plataforma-ayotzinapa/2017/9/7/ayotzinapa-la-noche-de-iguala-video-190963.html,,https://www.proceso.com.mx/u/fotografias/m/2017/9/7/f300x190-72810_80970_5050.jpg,,0,❤
Ayotzinapa: El agente de inteligencia militar (Video),2023,8,2,2017-09-07T11:15:07-00:00,https://www.proceso.com.mx/plataforma-ayotzinapa/2017/9/7/ayotzinapa-el-agente-de-inteligencia-militar-video-190964.html,,https://www.proceso.com.mx/u/fotografias/m/2017/9/7/f300x190-72811_80971_5050.jpg,,0,❤
&quot;Los senderos de Ayotzinapa que se bifurcan&quot; en el MUAC (Video),2023,8,2,2017-09-07T11:14:08-00:00,https://www.proceso.com.mx/plataforma-ayotzinapa/2017/9/7/los-senderos-de-ayotzinapa-que-se-bifurcan-en-el-muac-video-190965.html,,https://www.proceso.com.mx/u/fotografias/m/2017/9/7/f300x190-72812_80972_5050.jpg,,4,❤
"Fallece Ángel Sánchez, colaborador entrañable de Proceso durante 33 años",2023,8,3,2020-05-11T15:15:01-00:00,https://www.proceso.com.mx/obituario/2020/5/11/fallece-angel-sanchez-colaborador-entranable-de-proceso-durante-33-anos-242713.html,,https://www.proceso.com.mx/u/fotografias/m/2020/5/11/f300x190-114649_122809_5050.jpg,,3,🤔
Arte: &quot;Glóbulo. Morfología post-humana predigital&quot;,2023,8,4,2023-08-02T13:41:01-00:00,https://www.proceso.com.mx/opinion/2023/8/2/arte-globulo-morfologia-post-humana-predigital-311967.html,"Los colaboradores de la sección cultural de la revista Proceso –cuya edición ya es mensual–, publican en estas páginas, semana a semana, sus columnas de crítica (Arte, Música, Teatro, Cine, Libros).",https://www.proceso.com.mx/u/fotografias/m/2023/8/2/f300x190-178983_187143_5050.jpg,"Los colaboradores de la sección cultural de la revista Proceso –cuya edición ya es mensual–, publican en estas páginas, semana a semana, sus columnas de crítica (Arte, Música, Teatro, Cine, Libros).",4,❤
Crimen y justicia transicional,2023,8,4,2023-08-02T13:09:02-00:00,https://www.proceso.com.mx/opinion/2023/8/2/crimen-justicia-transicional-311963.html,Cada Justicia Transicional es única y depende de las circunstancias de cada país. Hay una primera aproximación a ello –para México– en los documentos que se crearon en 2018 cuando López Obrador decidió asumirla y luego traicionarla.,https://www.proceso.com.mx/u/fotografias/m/2023/8/2/f300x190-178976_187136_5050.jpg,Cada Justicia Transicional es única y depende de las circunstancias de cada país. Hay una primera aproximación a ello –para México– en los documentos que se crearon en 2018 cuando López Obrador decidió asumirla y luego traicionarla.,1,😢
Línea de investigación,2023,8,4,2023-08-01T20:07:03-00:00,https://www.proceso.com.mx/opinion/2023/8/1/linea-de-investigacion-311920.html,,https://www.proceso.com.mx/u/fotografias/m/2023/8/2/f300x190-178976_187136_5050.jpg,,1,😊
¿De verdad existen los extraterrestres?,2023,8,4,2023-07-31T00:46:04-00:00,https://www.proceso.com.mx/opinion/2023/7/31/de-verdad-existen-los-extraterrestres-311799.html,"Un exmilitar estadounidense dijo, en una declaración jurada, que el gobierno de ese país tiene restos biológicos de alienígenas, además de naves de seres extraterrestres. Esto ha llevado a un sinfín de especulaciones.",https://www.proceso.com.mx/u/fotografias/m/2023/7/26/f300x190-178443_186603_5050.jpg,"Un exmilitar estadounidense dijo, en una declaración jurada, que el gobierno de ese país tiene restos biológicos de alienígenas, además de naves de seres extraterrestres. Esto ha llevado a un sinfín de especulaciones.",1,🤔
Comenzó la Copa Mundial FIDE 2023,2023,8,4,2023-07-31T00:38:05-00:00,https://www.proceso.com.mx/opinion/2023/7/31/comenzo-la-copa-mundial-fide-2023-311798.html,"Un torneo en donde participan 128 jugadores de todos los rincones del planeta, los cuales han clasificado en diferentes justas, y ahora se enfrentan en un sistema de eliminación tipo Wimbledon.",https://www.proceso.com.mx/u/fotografias/m/2023/7/31/f300x190-178815_186975_5050.jpeg,"Un torneo en donde participan 128 jugadores de todos los rincones del planeta, los cuales han clasificado en diferentes justas, y ahora se enfrentan en un sistema de eliminación tipo Wimbledon.",1,❤
Tres décadas de TV Azteca,2023,8,4,2023-07-31T00:00:06-00:00,https://www.proceso.com.mx/opinion/2023/7/30/tres-decadas-de-tv-azteca-311782.html,"Pudiendo marcar una notable diferencia con los contenidos que ya producía Televisa, TV Azteca terminó mimetizándose con el estilo de entretenimiento y los intereses legislativos y regulatorios de la televisora de San Ángel. Es entonces cuando se conforma el duopolio televisivo, un bloque con más coincidencias que deseos de competir por más mercado y audiencias.",https://www.proceso.com.mx/u/fotografias/m/2023/7/30/f300x190-178788_186948_5050.jpg,"Pudiendo marcar una notable diferencia con los contenidos que ya producía Televisa, TV Azteca terminó mimetizándose con el estilo de entretenimiento y los intereses legislativos y regulatorios de la televisora de San Ángel. Es entonces cuando se conforma el duopolio televisivo, un bloque con más coincidencias que deseos de competir por más mercado y audiencias.",1,❤
Lista de obispos encubridores de abuso sexual a menores,2023,8,4,2023-07-30T07:00:07-00:00,https://www.proceso.com.mx/opinion/2023/7/30/lista-de-obispos-encubridores-de-abuso-sexual-menores-311756.html,"La pederastia clerical es un crimen, acto de abuso y profanación del cuerpo de un menor para satisfacer las patologías de clérigos malsanos. Es el abuso del religioso que deforma su investidura simbólica. Es un atropello de un adulto que deja secuelas imborrables en el cuerpo y alma de las víctimas.",https://www.proceso.com.mx/u/fotografias/m/2023/7/30/f300x190-178747_186907_5050.jpg,"La pederastia clerical es un crimen, acto de abuso y profanación del cuerpo de un menor para satisfacer las patologías de clérigos malsanos. Es el abuso del religioso que deforma su investidura simbólica. Es un atropello de un adulto que deja secuelas imborrables en el cuerpo y alma de las víctimas.",3,🤔
